Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
13050,5053,23084,40907,9782,8898
7546,43399,40365,18950,10556,7187
5803,43329,44553,28390,26180,17547
24124,15713,10088,41121,11943,44344
31046,1656,14798,23028,14691,41618
1001,42860,41103,1728,38365,7161
8754,40176,20459,40079,4942,3231
34367,23058,40327,10645,22711,5609
17875,5852,4138,27340,7571,3259
9488,30594,17625,40644,8065,40558
5323,7525,33984,15653,17944,27157
14057,1730,9386,1969,7147,41217
40918,12936,5951,5282,757,19129
24450,14808,43564,30513,23225,1296
14954,20472,11474,6137,36411,28600
34328,39712,22569,15811,19911,14791
6415,43454,9739,19465,39505,10404
40360,41912,18998,27994,23084,13126
10436,14383,33030,11585,40365,39781
36378,44128,9037,28580,44553,1692
25691,27163,12737,1082,10088,43298
12749,12566,17382,42031,14798,4562
20441,2209,30860,28581,41103,39759
14087,43561,14661,5467,34607,11576
5775,18037,32121,40701,20459,42838
43686,17063,12209,19897,40327,20734
32264,30728,11295,40437,4138,42988
19090,14689,26646,2371,17625,41720
14616,4250,31677,22702,33984,2006
3258,29891,14011,11371,9386,7025
33967,27711,5515,5698,5951,7586
35533,44265,23214,41592,43564,18322
8116,2158,28295,25962,11474,11530
10188,22294,32383,39732,9739,27447
32727,40907,29172,4317,18998,3236
36147,10343,43928,43338,9037,31489
23362,15052,3211,17130,12737,43254
24115,41121,17541,40623,42265,40826
4561,23028,4233,8898,17382,43572
12892,24553,25019,5872,14661,18533
42116,1728,16720,28923,12209,4093
28386,27340,9955,17547,43478,42957
29962,30915,7830,40384,5406,43718
13286,40644,17446,44344,26646,1988
43763,30611,38298,41618,14011,11588
36187,15653,31169,42903,17334,18012
31446,10485,13850,3231,5515,3630
30410,19783,13402,5609,7830,40064
41963,4541,9729,3259,27001,44588
24135,11342,28243,40558,32383,22376
9782,1969,26272,17918,29172,6251
31438,5282,10092,15853,43928,1410
10556,6137,3942,11114,3211,42991
41103,6194,5153,41217,36577,24384
34704,15811,4842,1296,4233,43205
28102,11585,22755,5293,17541,11006
26180,28580,7211,10404,17446,1427
14691,1082,22015,13126,16720,23104
43149,17861,16804,39781,9955,20921
4942,28581,13937,19125,38298,33927
11943,15525,43413,44014,26504,40487
14798,5467,11635,9104,3942,25967
22711,29501,41286,1692,23626,43978
7571,40701,43445,43298,31169,8482
8065,19897,37185,4562,13402,23199
19911,2371,18461,9889,9729,33892
13527,11371,5641,39759,28243,20583
36411,29855,29633,42838,10781,21651
10088,5698,41379,27295,10092,43904
23225,41592,29267,42988,22755,42955
17944,25962,43510,41720,5153,2325
757,39732,32692,2006,4842,40585
40365,4317,42314,28031,39326,13375
23084,43338,19450,7586,7211,30566
10477,14731,29199,11530,22015,8931
44553,17130,10529,3236,13937,6331
7147,40623,2913,43254,20755,23423
35354,8898,42219,3691,43413,20232
34607,5872,16955,13270,11635,18347
20459,4630,807,13043,41286,32193
40327,26426,41311,40826,43445,18814
4138,17547,36338,43572,39501,1864
17625,20522,3196,18533,29633,43138
33984,10412,7588,4093,42314,40268
9386,13946,13167,42957,5641,42442
5951,44344,5053,31201,29267,16620
43564,41618,43399,43718,41379,7737
22569,42903,39205,17197,26717,42769
11474,3231,43329,5800,43510,1554
9739,7161,15713,43537,32692,7792
33030,5609,7768,9953,31462,16864
18998,3259,42860,10559,16843,16796
9037,40558,1656,1988,29199,40332
18167,30065,40176,3630,42219,19788
42265,17918,5852,40064,2913,43190
17382,27157,30594,44588,3196,18638
30860,41217,7525,22376,16955,43323
14661,1296,12936,6251,807,41440
32121,13845,39023,12500,41311,43852
12209,14791,31452,1410,36338,19093
11295,10404,20400,42991,22658,1560
5406,13126,9092,43205,7588,22587
372,19125,14808,20921,13167,6288
31677,44014,20472,23104,5053,15518
14011,9104,39712,1427,43399,15680
5515,1692,41912,40487,15713,33255
17334,43298,14383,14646,43099,558
23214,4562,43454,43552,7768,12325
7830,39759,12229,13517,42860,22845
28295,11576,2209,40306,1656,32524
29172,42838,43561,25967,40176,11117
25019,31010,44128,43978,5852,5526
43928,42988,12566,8482,43329,5343
3211,41720,25606,43904,39625,29372
4233,31757,15162,9888,7525,19569
17541,18139,18037,21651,12936,9766
34441,7586,17063,42955,1730,9876
16720,18322,30728,2325,39023,29053
9955,3236,14689,43553,31452,42379
28895,27447,4250,40585,20400,1557
