Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
40641,28386,37874,32609,23225,1417
10447,2876,15900,21600,21697,1419
41840,21600,31759,2876,6429,1420
37090,4669,15952,28386,14033,1422
5473,22628,13582,4669,16811,1423
19698,8733,29446,22628,32393,1424
25685,13109,29909,8733,15900,1425
35067,40183,365,13109,37874,1426
25346,14744,14486,40183,15952,1427
17507,18412,21600,14744,13582,1429
34888,44375,2876,18412,31759,1430
14759,2500,28386,44375,29909,1433
19955,35553,4669,2500,365,1435
19382,27288,22628,35553,14486,1436
20660,31056,8733,27288,32609,1437
6702,19818,13109,31056,21600,1438
30208,21285,40183,19818,2876,1439
19430,6386,14744,21285,28386,1440
4103,15466,18412,15466,4669,1441
23225,41063,44375,6386,22628,1442
21697,15040,2500,41063,8733,1443
6429,22848,35553,15040,13109,1445
14033,20877,27288,22848,40183,1447
23036,15888,31056,20877,14744,1449
32393,21445,19818,15888,18412,1450
38587,4179,21285,21445,44375,1452
29446,25777,15466,44603,2500,1453
15900,19368,6386,4179,35553,1454
37874,36342,41063,25777,27288,1455
15952,8396,15040,19368,31056,1456
13582,15778,22848,8396,19818,1457
31759,12283,20877,15778,21285,1458
29909,19866,15888,12283,15466,1459
365,15074,21445,19866,6386,1460
14486,16868,4179,15074,41063,1461
28386,27619,25777,16868,15040,1462
2876,29192,19368,27619,22848,1464
21600,29491,8396,34133,20877,1465
4669,26435,43298,865,15888,1466
22628,865,15778,29192,21445,1468
8733,19165,12283,29491,44603,1469
13109,4997,19866,26435,4179,1470
39713,5371,15074,19165,25777,1471
40183,25610,16868,4997,19368,1472
14744,12633,27619,5371,8396,1474
18412,24747,865,25610,15778,1476
44375,39706,29192,12633,12283,1477
2500,32282,29491,24747,19866,1478
39567,27800,26435,39706,15074,1479
35553,8287,19165,32282,16868,1480
27288,3428,4997,27800,27619,1481
31056,35324,5371,8287,865,1482
19818,17847,25610,3428,29192,1483
21285,22694,12633,17847,29491,1484
6386,18040,24747,18040,26435,1486
15466,25376,39706,22694,19165,1488
39817,31260,32282,25376,4997,1489
41063,7965,27800,31260,5371,1490
15040,21960,8287,8512,25610,1491
22848,14584,3428,7965,12633,1493
20877,30575,17847,21960,24747,1495
15888,24270,18040,14584,39706,1497
34914,8512,22694,30575,29741,1498
21445,14936,25376,24270,32282,1499
44603,21473,31260,8918,27800,1504
4179,1046,8512,14936,8287,1505
25777,6774,7965,21473,3428,1506
19368,25696,21960,1046,17847,1507
36342,32258,14584,6774,18040,1509
8396,19162,30575,25696,22694,1512
15778,28786,24270,32258,25376,1513
12283,20228,8918,19162,31260,1514
19866,11416,14936,28786,8512,1517
15074,22316,21473,20228,7965,1521
16868,14237,1046,11416,21960,1524
27619,26430,6774,22316,14584,1525
40869,25112,25696,14237,30575,1526
29192,15734,32258,26430,24270,1527
29491,10031,19162,25112,8918,1528
26435,34783,28786,15734,14936,1529
865,14685,20228,10031,21473,1530
19165,16687,11416,34783,1046,1532
4997,17750,22316,14685,6774,1534
5371,19306,14237,16687,25696,1535
25610,39265,26430,26887,32258,1536
12633,42114,25112,17750,19162,1540
24747,21474,15734,19306,28786,1541
39706,30722,10031,39265,20228,1542
32282,1111,34783,42114,11416,1544
27800,9325,14685,21474,22316,1545
8287,26726,16687,1111,14237,1546
3428,18140,17750,9325,26430,1550
17847,27103,19306,26726,25112,1553
40033,15472,39265,18140,15734,1554
22694,16301,42114,27103,10031,1555
18040,8293,21474,6494,34783,1557
25376,6494,1111,24159,14685,1559
40329,36,30722,8293,16687,1560
31260,22670,9325,15472,26887,1562
7965,29499,26726,16301,17750,1564
21960,24159,18140,36,19306,1566
14584,41195,27103,29499,39265,1567
30575,38076,6494,22670,42114,1568
24270,7268,24159,41195,21474,1569
8512,11351,8293,38076,30722,1570
14936,27166,15472,7268,1111,1571
21473,19119,16301,11351,9325,1573
1046,39285,36,27166,26726,1574
6774,20426,29499,19119,18140,1575
25696,1559,22670,39285,27103,1576
32258,8108,41195,20426,6494,1577
19162,8055,38076,1559,24159,1578
28786,6820,7268,8108,8293,1579
20228,23337,11351,8055,15472,1580
11416,17101,27166,6820,16301,1581
22316,15206,19119,23337,36,1583
14237,25902,39285,17101,29499,1585
26430,29684,20426,15206,22670,1586
25112,9096,1559,25902,41195,1588
15734,26282,10786,29684,38076,1592
10031,24819,8108,9096,7268,1593
34783,3883,8055,24819,11351,1595
14685,19737,6820,3883,27166,1597
16687,27206,23337,19737,19119,1598
17750,12475,17101,27206,39285,1599
19306,10579,15206,12475,20426,1600
39265,26582,25902,10579,1559,1604
42114,44017,29684,26582,8108,1605
21474,17020,9096,33674,8055,1606
30722,33674,26282,12078,6820,1607
1111,12078,24819,26180,23337,1608
9325,26180,3883,6277,17101,1609
26726,6277,19737,7971,15206,1610
18140,7971,27206,41532,25902,1613
41432,41532,12475,24435,29684,1614
27103,24435,10579,35127,9096,1616
15472,35127,26582,19781,24819,1617
16301,19781,44017,23968,3883,1618
8293,23968,17020,13451,19737,1620
6494,13451,33674,4311,27206,1622
36,4311,12078,36868,12475,1623
22670,6869,26180,6869,10579,1624
29499,20777,6277,20777,26582,1626
24159,5252,7971,23843,44017,1627
40511,608,41532,5252,17020,1628
41195,9818,24435,608,34042,1629
38076,35353,35127,9818,33674,1633
7268,34964,19781,34964,12078,1636
11351,41333,23968,41333,26180,1637
27166,19687,13451,42447,6277,1638
19119,42447,4311,12788,7971,1639
39285,12788,36868,40582,41532,1643
20426,40582,6869,22032,24435,1644
1559,22032,20777,32566,35127,1645
8108,32566,23843,2662,19781,1652
8055,2662,5252,4475,23968,1653
6820,4475,608,13542,13451,1656
23337,13542,9818,38364,4311,1657
29334,38364,35353,39336,36868,1658
17101,39336,34964,5669,6869,1659
15206,32926,41333,32926,20777,1664
25902,5727,19687,5727,23843,1668
29684,35391,42447,35391,5252,1669
9096,22572,12788,22572,608,1670
24819,20990,40582,20990,9818,1672
3883,35191,43575,33005,35353,1673
19737,38490,22032,38490,34964,1674
27206,31121,32566,31121,41333,1675
12475,12212,2662,12212,42447,1676
10579,3760,4475,3760,12788,1678
26582,4608,13542,4608,40582,1680
44017,1276,38364,1276,22032,1682
33674,15485,39336,15485,32566,1683
12078,25642,32926,25642,2662,1684
26180,13935,5727,13935,4475,1685
6277,33301,35391,33301,38364,1687
7971,28418,22572,28418,39336,1688
41532,21903,20990,21903,32926,1691
24435,9706,4608,9706,5727,1692
35127,21038,38490,21038,35391,1693
