Q_Exactive,Impact_MS,maXis,Our_samples
2259,19561,42659,11913
2260,19576,44694,11915
2266,19605,44707,11919
2267,19661,44713,11921
2275,19695,44745,11931
2282,19696,44871,11971
2283,19701,45036,11989
2285,19741,45351,12004
2288,19821,45357,12012
2289,19822,45358,12029
2296,19901,45360,12060
2297,19972,45378,12064
2299,19978,45428,12091
2302,20040,45435,12115
2305,20070,45436,12130
2310,20091,45513,12160
2314,20149,45729,12240
2315,20170,45732,12241
2317,20239,45750,12242
2319,20295,45763,12265
2325,20301,45811,12287
2348,20311,45937,12345
2353,20313,45977,12356
2371,20352,46112,12366
2380,20354,46748,12369
2385,20356,46753,12452
2398,20358,46761,12540
2406,20380,46765,12570
2407,20400,46772,12634
2412,20402,46782,12642
2419,20403,46971,12643
2435,20576,47025,12651
2439,20610,47044,12662
2443,20629,47157,12664
2444,20669,47189,12695
2445,20683,47293,12708
2446,20684,47734,12803
2450,20714,47882,12843
2456,20732,47921,12855
2458,20795,47934,12856
2466,20800,48307,12862
2467,20802,48397,12863
2478,20812,48404,12882
2484,20822,48411,12942
2486,20891,48500,12975
2487,20893,48501,12983
2492,20894,48638,13001
2499,20896,48677,13024
2502,20928,48981,13026
2503,20972,49011,13097
2504,20976,49604,13141
2513,20983,49743,13158
2519,20995,49782,13189
2520,20999,49788,13300
2522,21001,49799,13301
2525,21003,49804,13358
2569,21076,49808,13362
2573,21085,50291,13394
2574,21087,50294,13435
2576,21088,50436,13588
2577,21090,50942,13665
2583,21091,50978,13677
2584,21254,50979,13678
2602,21339,50980,13701
2606,21393,50991,13706
2607,21394,51045,13783
2629,21395,51298,13797
2630,21443,51356,13873
2632,21522,51426,13905
2633,21556,51507,13925
2635,21891,51805,13927
2636,21896,51839,13966
2640,21958,51901,13969
2655,21959,51962,13983
2658,21971,52137,13994
2660,22048,52267,14004
2664,22130,52282,14022
2666,22135,52460,14023
2667,22148,52461,14039
2668,22154,52462,14042
2669,22213,52465,14074
2675,22216,52466,14097
2677,22245,52475,14148
2681,22256,52482,14153
2684,22326,52484,14156
2685,22339,52493,14166
2694,22351,52495,14172
2701,22352,52496,14206
2707,22353,52499,14213
2708,22359,52503,14226
2710,22365,52504,14280
2711,22368,52506,14386
2712,22370,52517,14424
2715,22374,52539,14484
2716,22377,53137,14499
2718,22477,53227,14502
2722,22529,53261,14556
2723,22545,53349,14559
2725,22552,53361,14564
2729,22625,53367,14568
2730,22633,54346,14572
2734,22635,54735,14575
2740,22758,54741,14607
2742,22759,54765,14632
2746,22760,54816,14654
2747,22809,54862,14664
2750,22833,55099,14707
2751,22851,55100,14739
2752,22888,55111,14788
2756,23044,55124,14820
2774,23046,55895,14843
2780,23209,55955,14862
2782,23211,55991,14875
2788,23241,56048,14876
2791,23303,56053,14881
2792,23399,56149,14899
2794,23438,56520,14900
2801,23535,56536,14910
2802,23549,56540,14912
2807,23580,56541,14960
2809,24280,56700,14969
2812,24300,56709,14971
2815,24394,56711,14981
2817,24414,56758,15023
2822,24417,56767,15056
2828,24427,56783,15072
2829,24499,56867,15150
2830,24586,56880,15172
2831,24657,57118,15195
2832,24781,57177,15215
2834,24783,57202,15225
2838,24802,57365,15290
2840,25068,57521,15339
2841,25428,57522,15353
2845,25454,58543,15625
2847,25503,58806,15754
2848,25553,58847,15785
2853,25659,60056,15797
2894,25705,60108,15799
2896,25717,60166,15822
2899,25726,60186,15826
2900,25728,60324,15827
2902,25842,61009,15829
2906,25859,61027,15832
2908,25860,61562,15833
2912,25917,61578,15839
2914,25918,61633,15841
2933,25919,61653,15846
2938,25925,61676,15967
2939,25927,61684,15984
2940,26042,62197,16013
2941,26066,62299,16019
2948,26076,62476,16029
2949,26261,62514,16042
2950,26377,62515,16045
2954,26453,62583,16047
2956,26461,63323,16056
2961,26523,63440,16061
2962,26729,63578,16064
2964,27558,63582,16067
2966,27597,63583,16068
2969,27608,63644,16073
2979,27629,63649,16075
2981,27718,63655,16077
2984,27751,63673,16078
2986,27783,63697,16086
2988,27864,63964,16087
2989,27868,64263,16093
2991,28218,64414,16094
2992,28259,64415,16096
2994,28262,64417,16098
2995,28263,64787,16099
2998,28264,64877,16106
2999,28265,64898,16107
3000,28277,64953,16110
3002,28296,65851,16115
3008,28375,65855,16119
3010,28380,65857,16135
3015,28400,65863,16136
3020,28415,65874,16145
3022,28465,65911,16150
3024,28475,65912,16162
3025,28481,65922,16167
3027,28489,65939,16171
3029,28494,65947,16235
3030,28496,65949,16293
3031,28510,65977,16337
3033,28695,65983,16340
3034,28700,66009,16342
3037,28701,66096,16387
3038,28960,66265,16391
3039,29514,66910,16393
3040,29516,66919,16395
3046,29521,66976,16517
3047,29538,67312,16524
3048,29577,68740,16557
3049,29620,68749,16567
3050,29666,68894,16590
3053,31771,68944,16705
3056,31777,68950,16718
3060,31795,68953,16784
3062,31816,69001,16819
3066,31925,69202,16824
3067,31967,69220,16826
3070,32072,69332,16835
3074,32143,69502,16884
3078,32144,69598,16885
3086,32145,69645,16908
3087,32146,69647,16926
3096,32147,70025,16933
3109,32156,70057,16934
3116,32162,70360,16942
3152,32173,70367,16950
3183,32185,70376,16958
3187,32189,70385,16969
3189,32190,70620,17031
3195,32191,70625,17046
3196,32195,70729,17068
3201,32201,70730,17082
3203,32206,70864,17084
3204,32208,70879,17090
3205,32211,70914,17102
3210,32214,70934,17104
3213,32218,71117,17108
3215,32221,71155,17111
3228,32222,71429,17142
3229,32223,71600,17163
3230,32226,71611,17183
3234,32231,71682,17194
3235,32237,71810,17212
3239,32241,71814,17270
3240,32250,71826,17273
3241,32252,71847,17288
